id,_name,grade,atk,hit,cri(%),attack_spd,attack_range,splash_range,hp,def,move,skill_id,skill_value(%),skill_duration,skill_cooltime
1001,고양이1,1,10,100%,10,2,9999,0,1,0,0,1001,1,0,10
1002,고양이2,1,10,100%,10,1,9999,1,1,0,0,1002,0.3,5,10
1003,고양이3,1,10,100%,10,1.5,9999,0,1,0,0,1003,0.2,5,10
1004,고양이4,1,10,100%,10,1,9999,0,1,0,0,1004,0.6,0,10
1005,고양이5,1,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
1006,고양이6,2,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
1007,고양이7,2,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
1008,고양이8,2,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
1009,고양이9,3,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
1010,고양이10,3,15,100%,50,0.5,9999,2,1,0,0,1001,1,0,10
2001,생쥐A,1,0,0,0,0,0,0,100,2,50,0,0,0,0
2002,생쥐B,1,0,0,0,0,0,0,200,0,50,0,0,0,0
2003,생쥐 보스A,1,0,0,0,0,0,0,200,0,50,2001,0.3,5,10
